Unnamed: 0,CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Offline_Spend,Online_Spend,Month,Coupon_Code,Discount_pct,Online_Perc,Quartile,Sale
0,17850.0,M,Chicago,12.0,16679.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,2424.5,1,ELEC10,10.0,35.01,2_Q,153.71
23,13047.0,M,California,43.0,16684.0,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,4500.0,2424.5,1,ELEC10,10.0,35.01,2_Q,245.54
27,12583.0,M,Chicago,33.0,16694.0,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,4500.0,2424.5,1,ELEC10,10.0,35.01,2_Q,122.77
28,15100.0,M,California,49.0,16712.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,2424.5,1,ELEC10,10.0,35.01,2_Q,153.71
29,14688.0,F,New York,46.0,16732.0,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,2424.5,1,ELEC10,10.0,35.01,2_Q,153.71
38,12431.0,F,New Jersey,14.0,16819.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
43,17511.0,F,Chicago,25.0,16826.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
51,17548.0,M,Chicago,50.0,16844.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,122.77
54,13705.0,F,Chicago,39.0,16849.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,122.77
59,13747.0,F,Chicago,21.0,16857.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
